,Z values,position,total,lacune,microbleeds,PVS,WMH
205,2.0341905837834284,Parietal_mean,0,0,2,3,0
206,2.508493335480291,WM_mean,0,0,2,3,0
207,3.1231254794065992,CH_mean,0,0,2,3,0
208,2.2300136460107773,BG_mean,0,0,2,3,0
209,2.3304473208129464,TH_mean,0,0,2,3,0
210,2.10638633023258,GM_mean,0,0,2,3,0
211,2.4695873760229703,total_mean,0,0,2,3,0
212,2.957706577386725,frontal_mean,0,0,2,3,1
213,2.0341905837834284,Parietal_mean,0,0,2,3,1
214,2.508493335480291,WM_mean,0,0,2,3,1
215,3.1231254794065992,CH_mean,0,0,2,3,1
216,2.2300136460107773,BG_mean,0,0,2,3,1
217,2.3304473208129464,TH_mean,0,0,2,3,1
218,2.10638633023258,GM_mean,0,0,2,3,1
219,2.4695873760229703,total_mean,0,0,2,3,1
220,2.1618368535373254,frontal_mean,0,0,2,3,2
221,1.9645985084803148,WM_mean,0,0,2,3,2
222,2.872615990103849,CH_mean,0,0,2,3,2
223,2.0288847240137518,total_mean,0,0,2,3,2
224,2.2538240686165785,frontal_mean,0,0,2,3,3
225,2.10666022964697,WM_mean,0,0,2,3,3
226,2.7201534411957624,CH_mean,0,0,2,3,3
227,2.130835591630817,frontal_mean,0,0,2,4,0
228,2.3347848010477565,CH_mean,0,0,2,4,0
229,2.130835591630817,frontal_mean,0,0,2,4,1
230,2.3347848010477565,CH_mean,0,0,2,4,1
231,2.320007279771354,CH_mean,0,0,2,4,2
232,2.5064774503883904,CH_mean,0,0,2,4,3
233,2.3230220564498993,CH_mean,0,0,2,5,0
234,2.0336234308648926,TH_mean,0,0,2,5,0
235,2.3230220564498993,CH_mean,0,0,2,5,1
236,2.0336234308648926,TH_mean,0,0,2,5,1
237,2.367212365499921,CH_mean,0,0,2,5,2
238,2.0627468647320812,frontal_mean,0,0,2,6,0
239,2.0598811938272474,CH_mean,0,0,2,6,0
240,2.0627468647320812,frontal_mean,0,0,2,6,1
241,2.0598811938272474,CH_mean,0,0,2,6,1
242,2.087384147121272,CH_mean,0,0,2,6,2
243,2.217424013467716,frontal_mean,0,0,2,7,0
244,2.217424013467716,frontal_mean,0,0,2,7,1
245,2.217424013467716,frontal_mean,0,0,2,8,0
246,2.217424013467716,frontal_mean,0,0,2,8,1
247,1.9615288010347331,frontal_mean,0,0,3,0,2
248,2.1448875839171695,CH_mean,0,0,3,0,2
249,2.1732116526131104,frontal_mean,0,0,3,0,3
250,2.114868059173297,WM_mean,0,0,3,0,3
251,2.4769596423547666,CH_mean,0,0,3,0,3
252,1.9615288010347331,frontal_mean,0,0,3,2,2
253,2.1448875839171695,CH_mean,0,0,3,2,2
254,2.1732116526131104,frontal_mean,0,0,3,2,3
255,2.114868059173297,WM_mean,0,0,3,2,3
256,2.4769596423547666,CH_mean,0,0,3,2,3
257,1.9615288010347331,frontal_mean,0,0,3,3,2
258,2.1448875839171695,CH_mean,0,0,3,3,2
259,2.1732116526131104,frontal_mean,0,0,3,3,3
260,2.114868059173297,WM_mean,0,0,3,3,3
261,2.4769596423547666,CH_mean,0,0,3,3,3
262,2.1786793323792653,frontal_mean,0,1,0,0,0
263,3.312390845399683,CH_mean,0,1,0,0,0
264,2.4971190831940455,BG_mean,0,1,0,0,0
265,3.033377073793128,TH_mean,0,1,0,0,0
266,2.4619566923794514,GM_mean,0,1,0,0,0
267,2.330873652267706,total_mean,0,1,0,0,0
268,1.9899578776568958,frontal_mean,0,1,0,0,1
269,2.83863264586073,CH_mean,0,1,0,0,1
270,2.7034648200734464,TH_mean,0,1,0,0,1
271,2.1309260261910836,GM_mean,0,1,0,0,1
272,2.1052705621306096,total_mean,0,1,0,0,1
273,2.179604333821331,frontal_mean,0,1,0,0,2
274,2.0210531352975463,WM_mean,0,1,0,0,2
275,3.1231296297794273,CH_mean,0,1,0,0,2
276,2.2588710216701053,BG_mean,0,1,0,0,2
277,3.0034689261873284,TH_mean,0,1,0,0,2
278,2.5090391562399352,GM_mean,0,1,0,0,2
279,2.4723574912863713,total_mean,0,1,0,0,2
280,2.090804368133898,frontal_mean,0,1,0,0,3
281,2.6483612232799003,CH_mean,0,1,0,0,3
282,2.1786793323792653,frontal_mean,0,1,0,2,0
283,3.312390845399683,CH_mean,0,1,0,2,0
284,2.4971190831940455,BG_mean,0,1,0,2,0
285,3.033377073793128,TH_mean,0,1,0,2,0
286,2.4619566923794514,GM_mean,0,1,0,2,0
287,2.330873652267706,total_mean,0,1,0,2,0
288,1.9899578776568958,frontal_mean,0,1,0,2,1
289,2.83863264586073,CH_mean,0,1,0,2,1
290,2.7034648200734464,TH_mean,0,1,0,2,1
291,2.1309260261910836,GM_mean,0,1,0,2,1
292,2.1052705621306096,total_mean,0,1,0,2,1
293,2.179604333821331,frontal_mean,0,1,0,2,2
294,2.0210531352975463,WM_mean,0,1,0,2,2
295,3.1231296297794273,CH_mean,0,1,0,2,2
296,2.2588710216701053,BG_mean,0,1,0,2,2
297,3.0034689261873284,TH_mean,0,1,0,2,2
298,2.5090391562399352,GM_mean,0,1,0,2,2
299,2.4723574912863713,total_mean,0,1,0,2,2
300,2.090804368133898,frontal_mean,0,1,0,2,3
301,2.6483612232799003,CH_mean,0,1,0,2,3
